Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Tariff Plan,Status,Age,Customer Value,Churn
0,0,37,0,875,14,0,11,2,1,2,25,40.005,1
0,0,37,0,0,0,0,0,2,1,2,25,0.0,1
23,1,33,0,955,47,16,17,2,1,2,25,117.09,1
13,1,36,1,5818,98,26,24,2,1,1,25,383.22,1
9,0,35,0,2990,41,9,16,3,1,2,30,157.24,1
9,1,36,0,2268,44,34,31,3,1,2,30,228.48,1
0,0,36,0,133,2,0,2,3,1,2,30,5.4,1
0,1,36,0,628,7,9,4,4,1,2,45,38.375,1
0,0,26,0,825,10,21,3,4,1,2,45,73.375,1
3,0,9,1,1488,19,0,7,3,1,1,30,60.28,1
3,1,39,1,60,3,5,2,2,1,1,25,25.335,1
26,1,35,1,1015,50,21,19,3,1,1,30,126.6,1
12,0,37,1,3050,44,14,18,3,1,1,30,179.76,1
12,1,38,1,2328,47,39,33,3,1,1,30,251.0,1
3,0,38,1,193,5,5,4,3,1,1,30,27.92,1
3,0,38,1,688,10,14,6,4,1,1,45,52.45,1
6,1,11,2,1548,22,5,9,3,1,1,30,82.8,1
0,0,35,0,0,0,0,0,2,1,2,25,0.0,1
20,0,31,0,895,44,11,15,2,1,2,25,91.755,1
10,0,34,0,5758,95,21,22,2,1,1,25,357.885,1
6,0,33,0,2930,38,4,14,2,1,2,25,151.56,1
6,1,34,0,2208,41,29,29,3,1,2,30,205.96,1
0,1,34,0,0,0,0,0,3,1,2,30,0.0,1
0,0,34,0,568,4,4,2,4,1,2,45,24.3,1
0,1,24,0,765,7,16,1,4,1,2,45,59.3,1
0,0,7,0,1428,16,0,5,3,1,1,30,57.76,1
1,1,43,0,398,7,17,8,3,1,2,30,84.2,1
1,0,41,0,80,2,10,4,2,1,2,25,48.69,1
24,1,37,0,1035,49,26,21,3,1,2,30,147.36,1
14,0,40,2,5898,100,36,28,2,1,1,25,431.91,1
10,0,39,0,3070,43,19,20,3,1,2,30,200.52,1
10,1,40,0,2348,46,44,35,3,1,2,30,271.76,1
